name,tool,cpu_count,time_in_seconds,memory_in_bytes,dataset_size
filter,pyspark,1,95.83542919899628,27794656,6400MB
filter,pyspark,1,96.47725006299879,27788648,6400MB
filter,pyspark,1,95.10889954199956,27802336,6400MB
filter,pyspark,2,49.568749917001696,27993104,6400MB
filter,pyspark,2,49.427399082997,27987800,6400MB
filter,pyspark,2,51.40767018200131,27995072,6400MB
filter,pyspark,10,13.357558484000037,28832704,6400MB
filter,pyspark,10,12.761753086997487,29148664,6400MB
filter,pyspark,10,13.202954032996786,29142760,6400MB
filter,pyspark,20,12.880009471002268,29170504,6400MB
filter,pyspark,20,12.883149617999152,29523448,6400MB
filter,pyspark,20,13.258749958004046,29165256,6400MB
filter,pyspark,1,48.5988173950027,27697264,3200MB
filter,pyspark,1,47.52950014200178,27752680,3200MB
filter,pyspark,1,49.18632821199572,27701248,3200MB
filter,pyspark,2,26.093813710002,28381584,3200MB
filter,pyspark,2,26.63463430000411,28402800,3200MB
filter,pyspark,2,27.35350820700114,28402376,3200MB
filter,pyspark,10,8.64156420299696,28636656,3200MB
filter,pyspark,10,9.123587340000086,28664136,3200MB
filter,pyspark,10,8.60230948300159,29239328,3200MB
filter,pyspark,20,9.172756829997525,28805496,3200MB
filter,pyspark,20,8.41853002699645,29355688,3200MB
filter,pyspark,20,8.497421185995336,28833152,3200MB
filter,pyspark,1,24.54395969700272,28171536,1600MB
filter,pyspark,1,25.247943451999163,27630560,1600MB
filter,pyspark,1,25.71914770500007,27665120,1600MB
filter,pyspark,2,13.801167708996218,28849640,1600MB
filter,pyspark,2,14.22996540099848,28594152,1600MB
filter,pyspark,2,13.111234486001194,28419952,1600MB
filter,pyspark,10,6.214290037001774,28589904,1600MB
filter,pyspark,10,5.851472664005996,28555848,1600MB
filter,pyspark,10,5.869793053003377,28570360,1600MB
filter,pyspark,20,4.649774537996564,28770136,1600MB
filter,pyspark,20,4.666947320001782,28754744,1600MB
filter,pyspark,20,4.902304627998092,28950024,1600MB
filter,pyspark,1,13.54671688700182,27583096,800MB
filter,pyspark,1,13.243107396003325,27783096,800MB
filter,pyspark,1,13.465420690001338,27643816,800MB
filter,pyspark,2,7.498236248000467,28789520,800MB
filter,pyspark,2,7.420347668004979,28777800,800MB
filter,pyspark,2,7.220583665002778,28790312,800MB
filter,pyspark,10,3.611535101001209,29578296,800MB
filter,pyspark,10,3.304588694998529,29104792,800MB
filter,pyspark,10,3.1549257149963523,28581288,800MB
filter,pyspark,20,3.568527205999999,28753304,800MB
filter,pyspark,20,3.417038416999276,28932512,800MB
filter,pyspark,20,3.247508624001057,28770048,800MB
filter,pyspark,1,6.972720331999881,27575384,400MB
filter,pyspark,1,7.043977166998957,28261520,400MB
filter,pyspark,1,7.592051758998423,27577728,400MB
filter,pyspark,2,4.996558325998194,28767592,400MB
filter,pyspark,2,5.099779012998624,28760432,400MB
filter,pyspark,2,4.691690485000436,28770544,400MB
filter,pyspark,10,2.430679823999526,28546520,400MB
filter,pyspark,10,2.445484058000148,28555072,400MB
filter,pyspark,10,2.8742039729986573,28522144,400MB
filter,pyspark,20,2.6003522539976984,28753440,400MB
filter,pyspark,20,2.687002395003219,28957976,400MB
filter,pyspark,20,2.453006643001572,28988256,400MB
filter,pyspark,1,4.327937987000041,27572872,200MB
filter,pyspark,1,3.998785613999644,27569000,200MB
filter,pyspark,1,3.9775265170028433,28621816,200MB
filter,pyspark,2,2.7258061669999734,28758360,200MB
filter,pyspark,2,2.5082168000008096,28749400,200MB
filter,pyspark,2,2.6623970340006053,28081616,200MB
filter,pyspark,10,1.869874254000024,29233952,200MB
filter,pyspark,10,1.9392579729974384,29222416,200MB
filter,pyspark,10,1.8525781800053664,29370352,200MB
filter,pyspark,20,2.056563671998447,30036048,200MB
filter,pyspark,20,2.085512331002974,28999704,200MB
filter,pyspark,20,1.965896956004144,28991696,200MB
filter,duckdb,1,97.78027964799548,0,6400MB
filter,duckdb,1,98.08140843699948,0,6400MB
filter,duckdb,1,98.04596492599376,0,6400MB
filter,duckdb,2,49.16845655499492,21824,6400MB
filter,duckdb,2,49.24532902799547,26120,6400MB
filter,duckdb,2,49.18420208900352,26804,6400MB
filter,duckdb,10,9.914071325001714,241248,6400MB
filter,duckdb,10,9.942781480000122,246444,6400MB
filter,duckdb,10,9.985185234996608,240932,6400MB
filter,duckdb,20,9.099454504997992,522208,6400MB
filter,duckdb,20,9.086315284999728,521948,6400MB
filter,duckdb,20,9.132033859998046,521540,6400MB
