name,tool,cpu_count,time_in_seconds,memory_in_bytes,dataset_size
join,modin,1,0.020859590997133637,596873693,1600MB
join,modin,1,0.019230374000471784,586659342,1600MB
join,modin,1,0.017827493000368122,584373082,1600MB
join,modin,2,0.026247080000757705,713349932,1600MB
join,modin,2,0.022795156000938732,711359827,1600MB
join,modin,2,0.023145279003074393,714574394,1600MB
join,modin,10,0.070004515000619,3116691866,1600MB
join,modin,10,0.06522519600548549,3116578986,1600MB
join,modin,10,0.05326595500082476,3116372357,1600MB
join,modin,20,0.1194839219970163,5978373594,1600MB
join,modin,20,0.11640184299903922,5976779544,1600MB
join,modin,20,0.14148031100194203,5974914402,1600MB
join,modin,1,0.0183051009989867,488980693,800MB
join,modin,1,0.0172103529985179,488567435,800MB
join,modin,1,0.0167883519970928,488026601,800MB
join,modin,2,0.022470437001175,668513845,800MB
join,modin,2,0.0218297419996815,667463610,800MB
join,modin,2,0.0243042729998705,668339568,800MB
join,modin,10,0.0627184469994972,2230303947,800MB
join,modin,10,0.0494707449979614,2231090962,800MB
join,modin,10,0.0623946840023563,2229492761,800MB
join,modin,20,0.1251587490005477,4220254287,800MB
join,modin,20,0.1217412030018749,4218057236,800MB
join,modin,20,0.1293928060003963,4221304966,800MB
join,modin,1,0.0193416339971008,440539428,400MB
join,modin,1,0.0179254079994279,436381088,400MB
join,modin,1,0.0173374459991464,438566480,400MB
join,modin,2,0.0235134889990149,639491439,400MB
join,modin,2,0.0247914120009227,638765276,400MB
join,modin,2,0.0232188549998682,639440985,400MB
join,modin,10,0.0526201060019957,2215079504,400MB
join,modin,10,0.0789801900027669,2216605661,400MB
join,modin,10,0.0726196830000844,2214203572,400MB
join,modin,20,0.1332814840025094,4206565652,400MB
join,modin,20,0.129506235000008,4206453515,400MB
join,modin,20,0.1217508499976247,4205493967,400MB
join,modin,1,0.0220897190010873,413412795,200MB
join,modin,1,0.0181461820029653,412615571,200MB
join,modin,1,0.0176791939993563,412940265,200MB
join,modin,2,0.0221912220004014,623034913,200MB
join,modin,2,0.0234413780017348,623849087,200MB
join,modin,2,0.0231464330026938,625006327,200MB
join,modin,10,0.0619452210012241,2207085101,200MB
join,modin,10,0.0690812100001494,2208931234,200MB
join,modin,10,0.067153446998418,2207831929,200MB
join,modin,20,0.1150842479983111,3996152930,200MB
join,modin,20,0.1167838850014959,3996409440,200MB
join,modin,20,0.1142953910020878,3997582301,200MB
join,pyspark,1,142.9079913609985,10354670280,3200MB
join,pyspark,1,141.89985922699998,10354682184,3200MB
join,pyspark,1,139.761417746,10354676336,3200MB
join,pyspark,2,88.78907635300129,19817174792,3200MB
join,pyspark,2,81.27203560399903,19750035192,3200MB
join,pyspark,2,83.80320330900031,20681176832,3200MB
join,pyspark,10,28.52437653900052,32735505400,3200MB
join,pyspark,10,26.4353628989993,32609685736,3200MB
join,pyspark,10,25.913634439000816,32727305336,3200MB
join,pyspark,20,33.57565530300053,33641813408,3200MB
join,pyspark,20,27.35288158000003,33390100568,3200MB
join,pyspark,20,29.63382705799995,33574651936,3200MB
join,pyspark,1,73.68310465500053,10153272632,1600MB
join,pyspark,1,76.33166986500055,10153268512,1600MB
join,pyspark,1,77.25281381600053,10153281072,1600MB
join,pyspark,2,55.28299170599985,16663048064,1600MB
join,pyspark,2,54.25397428799988,16788847584,1600MB
join,pyspark,2,50.19060855699991,18340765920,1600MB
join,pyspark,10,12.40605062299984,17275195400,1600MB
join,pyspark,10,13.49119930800043,17275166824,1600MB
join,pyspark,10,14.32465123100155,17275116160,1600MB
join,pyspark,20,18.793029469999965,18047321000,1600MB
join,pyspark,20,18.375070070998845,18475250008,1600MB
join,pyspark,20,18.902388292999603,18223684880,1600MB
join,pyspark,1,42.31042356499984,5858312544,800MB
join,pyspark,1,41.67500724399997,5858309496,800MB
join,pyspark,1,42.01341139099986,5858352448,800MB
join,pyspark,2,25.7093703620003,7930403160,800MB
join,pyspark,2,24.7917046700004,7804795816,800MB
join,pyspark,2,23.011971031999565,7930436488,800MB
join,pyspark,10,12.114876580000782,13995260368,800MB
join,pyspark,10,8.508791926999947,14037218320,800MB
join,pyspark,10,7.823062729999947,10010703296,800MB
join,pyspark,20,8.959863317999407,10598249328,800MB
join,pyspark,20,7.859758519000024,14607976360,800MB
join,pyspark,20,7.88725653200072,10573056648,800MB
join,pyspark,1,25.652287532000628,4381936776,400MB
join,pyspark,1,25.16139043200019,5455637360,400MB
join,pyspark,1,26.276684188999752,5455655832,400MB
join,pyspark,2,15.11017473999982,5782928688,400MB
join,pyspark,2,16.132695661999605,5757804752,400MB
join,pyspark,2,14.619800080999994,4709216568,400MB
join,pyspark,10,5.433414658999936,7267599968,400MB
join,pyspark,10,5.58140783700037,7317896104,400MB
join,pyspark,10,6.833301066000786,7326452296,400MB
join,pyspark,20,5.478552186999877,7913877344,400MB
join,pyspark,20,5.7640045250000185,7913889128,400MB
join,pyspark,20,6.700833796000552,6705896528,400MB
join,pyspark,1,16.092673391000062,2972591152,200MB
join,pyspark,1,15.241116563000103,2972623624,200MB
join,pyspark,1,16.022440681999797,2979945464,200MB
join,pyspark,2,9.412860725999964,3098587648,200MB
join,pyspark,2,9.395965840000828,3098556520,200MB
join,pyspark,2,9.259179775999655,3098572312,200MB
join,pyspark,10,4.789305132000663,3970855376,200MB
join,pyspark,10,4.937446673000522,3971894688,200MB
join,pyspark,10,4.858309976000783,3955173632,200MB
join,pyspark,20,4.730030306999652,5270601200,200MB
join,pyspark,20,5.73991780399956,5262013248,200MB
join,pyspark,20,5.176314788999662,5229504528,200MB
join,duckdb,1,79.09883941199996,41222800,3200MB
join,duckdb,1,57.66514590999998,41221480,3200MB
join,duckdb,1,56.750783426,41219212,3200MB
join,duckdb,2,31.28114506700001,41230552,3200MB
join,duckdb,2,31.569714449000003,41225896,3200MB
join,duckdb,2,31.187574937000136,41225208,3200MB
join,duckdb,10,9.064059351999958,41264264,3200MB
join,duckdb,10,9.142938251000032,41269252,3200MB
join,duckdb,10,9.04442323100011,41263568,3200MB
join,duckdb,20,7.657108345000097,41315496,3200MB
join,duckdb,20,7.721244554999885,41312640,3200MB
join,duckdb,20,7.738647849000017,41313916,3200MB
join,duckdb,1,36.693357204999984,21357500,1600MB
join,duckdb,1,27.339318339999977,21355932,1600MB
join,duckdb,1,27.418860086999985,21357436,1600MB
join,duckdb,2,17.94505221999998,21359704,1600MB
join,duckdb,2,17.971146088999944,21358804,1600MB
join,duckdb,2,17.88713920200007,21359572,1600MB
join,duckdb,10,10.284295162000037,21384808,1600MB
join,duckdb,10,10.274821346999945,21387684,1600MB
join,duckdb,10,9.85661596400007,21385704,1600MB
join,duckdb,20,10.291850262000024,21492388,1600MB
join,duckdb,20,9.88889519099996,21484904,1600MB
join,duckdb,20,10.35262929700002,21493288,1600MB
join,duckdb,1,20.81160719799999,11567640,800MB
join,duckdb,1,16.024937894999994,11565460,800MB
join,duckdb,1,15.927846781000028,11565100,800MB
join,duckdb,2,8.95984054400003,11575692,800MB
join,duckdb,2,8.969043724000016,11568960,800MB
join,duckdb,2,9.071054197999956,11568816,800MB
join,duckdb,10,2.5660044070000367,11602452,800MB
join,duckdb,10,2.591661663999957,11603732,800MB
join,duckdb,10,2.6053029230000675,11602056,800MB
join,duckdb,20,2.221744172000058,11658032,800MB
join,duckdb,20,2.220832661000032,11667672,800MB
join,duckdb,20,2.2028427479999664,11658596,800MB
join,duckdb,1,12.279740564999996,6981308,400MB
join,duckdb,1,9.936069433,6983180,400MB
join,duckdb,1,9.867047517000003,6981432,400MB
join,duckdb,2,5.610273369000026,6991560,400MB
join,duckdb,2,5.574563566999984,6986052,400MB
join,duckdb,2,5.588381967000032,6984080,400MB
join,duckdb,10,1.6130592520000278,7017904,400MB
join,duckdb,10,1.6622570119999978,7020612,400MB
join,duckdb,10,1.6180982749999655,7019840,400MB
join,duckdb,20,1.3664675780000266,7064608,400MB
join,duckdb,20,1.4137615949999829,7058288,400MB
join,duckdb,20,1.4251365419999615,7055296,400MB
join,duckdb,1,12.202052083000012,4230192,200MB
join,duckdb,1,6.481855161999988,4231848,200MB
join,duckdb,1,6.478039312999954,4230152,200MB
join,duckdb,2,3.5993048579999822,4235220,200MB
join,duckdb,2,3.650929759999997,4243688,200MB
join,duckdb,2,3.6435779410000464,4244568,200MB
join,duckdb,10,1.0832020099999795,4286128,200MB
join,duckdb,10,1.020192619999989,4265232,200MB
join,duckdb,10,1.0105298839999932,4273784,200MB
join,duckdb,20,0.9258730870000136,4324796,200MB
join,duckdb,20,0.9334441220000258,4338564,200MB
join,duckdb,20,0.9459193939999864,4340936,200MB
join,polars,1,33.28439677200004,15499856,3200MB
join,polars,1,33.26446249400033,15488388,3200MB
join,polars,1,33.04726379500062,15497324,3200MB
join,polars,2,15.540131297999324,15511808,3200MB
join,polars,2,15.49133430800066,15463480,3200MB
join,polars,2,15.551050264999503,15492772,3200MB
join,polars,10,7.712366566000128,15483740,3200MB
join,polars,10,7.757408821002173,15465336,3200MB
join,polars,10,8.484853269001178,15567532,3200MB
join,polars,20,7.380211964999034,15534536,3200MB
join,polars,20,7.542103772000701,15547988,3200MB
join,polars,20,7.291699814999447,15555144,3200MB
join,polars,1,13.987181982000038,7742888,1600MB
join,polars,1,14.017758123998648,7747044,1600MB
join,polars,1,14.196136124999612,7741032,1600MB
join,polars,2,8.85575442299887,7740760,1600MB
join,polars,2,9.184143408998352,7744756,1600MB
join,polars,2,8.662997463001375,7747296,1600MB
join,polars,10,4.965690217999509,7743756,1600MB
join,polars,10,4.568466851000267,7735720,1600MB
join,polars,10,4.424689206000039,7740144,1600MB
join,polars,20,4.027002902999811,7735628,1600MB
join,polars,20,4.12902907500029,7735044,1600MB
join,polars,20,4.09045695900204,7735188,1600MB
join,polars,1,6.736108741999487,3947272,800MB
join,polars,1,6.766592356998444,3948688,800MB
join,polars,1,6.683883617999527,3947752,800MB
join,polars,2,4.092477661000885,3943160,800MB
join,polars,2,4.069578422000632,3945860,800MB
join,polars,2,4.120958825998969,3954864,800MB
join,polars,10,2.0365834729964263,3975808,800MB
join,polars,10,2.004895731999568,3946016,800MB
join,polars,10,2.031827569997404,3995496,800MB
join,polars,20,1.9138335110001208,4045464,800MB
join,polars,20,1.9499503469996853,4094300,800MB
join,polars,20,1.9611526549997509,4041660,800MB
join,polars,1,3.8736602930002846,2182620,400MB
join,polars,1,3.910234955001215,2191868,400MB
join,polars,1,3.9481910740032617,2190344,400MB
join,polars,2,2.4550491030022386,2192540,400MB
join,polars,2,2.338226156000019,2195300,400MB
join,polars,2,2.4389748239991604,2181740,400MB
join,polars,10,1.1744218239982729,2216388,400MB
join,polars,10,1.1710786379990168,2197680,400MB
join,polars,10,1.1902048850024585,2215960,400MB
join,polars,20,1.1440365810012736,2246708,400MB
join,polars,20,1.1585957420029445,2226040,400MB
join,polars,20,1.122964664002211,2228404,400MB
join,polars,1,2.478959047002718,1427260,200MB
join,polars,1,2.4014633869992394,1423380,200MB
join,polars,1,2.398443040001439,1425256,200MB
join,polars,2,1.4730950960001792,1435144,200MB
join,polars,2,1.4723349819978466,1437032,200MB
join,polars,2,1.4832589360012207,1437280,200MB
